Invoice Text,Category
DELHIVERY warehouse delivery ref:926762,Logistics
HP Store invoice for staplers ref:926762,Office Supplies
IHG Hotels - airfare for business trip for corporate account Amt INR 39736,Travel
PRINTHUB whiteboard markers PO#19232,Office Supplies
BSNL - water charges for corporate account PO#19232,Utilities
container movement from Shadowfax ref:926762,Logistics
cargo handling billed by Maersk,Logistics
water charges from Jio Fiber,Utilities
SaaS license from OpenAI ref:926762,Cloud/Software
meter consumption charges billed by Jio Fiber ref:926762,Utilities
ELECTROPARTS industrial inventory INV-2026-8573,Inventory
CHEMSTORE finished goods procurement PO#19232,Inventory
electronic components from Industrial Hub,Inventory
container movement from Shadowfax PO#19232,Logistics
container movement from Shadowfax ref:926762,Logistics
MakeMyTrip travel expense PO#19232,Travel
Vodafone invoice for telephone charges Amt INR 39736,Utilities
water charges billed by Energy Board,Utilities
monthly compute usage from GitHub PO#19232,Cloud/Software
last mile shipment from Blue Dart PO#19232,Logistics
ElectroParts - bulk procurement of components for corporate account Amt INR 39736,Inventory
manufacturing supplies billed by Global Traders,Inventory
Staples - printer paper for corporate account,Office Supplies
Vodafone - broadband invoice for corporate account,Utilities
PrintHub invoice for whiteboard markers INV-2026-8573,Office Supplies
freight chg billed by UPS,Logistics
Gati - air freight for corporate account,Logistics
office stationery from PrintHub PO#19232,Office Supplies
database hosting billed by Google Cloud Amt INR 39736,Cloud/Software
broadband invoice from Airtel Amt INR 39736,Utilities
OFFICE DEPOT office stationery,Office Supplies
Energy Board water utility chg INV-2026-8573,Utilities
airfare for business trip from Akasa Air,Travel
SaaS license billed by Microsoft Amt INR 39736,Cloud/Software
BSNL - broadband invoice for corporate account,Utilities
meter consumption charges billed by Jio Fiber Amt INR 39736,Utilities
Office Depot - notebooks for corporate account Amt INR 39736,Office Supplies
conference travel billed by Akasa Air INV-2026-8573,Travel
PackRight electronic components INV-2026-8573,Inventory
Staples invoice for whiteboard markers,Office Supplies
Canon Supplies - notebooks for corporate account PO#19232,Office Supplies
AgriSupply invoice for finished goods procurement INV-2026-8573,Inventory
WB Stationers - printer paper for corporate account INV-2026-8573,Office Supplies
meter consumption chg from Municipal Water Amt INR 39736,Utilities
GitHub annual renewal PO#19232,Cloud/Software
IRCTC hotel accommodation PO#19232,Travel
MakeMyTrip airport transfer INV-2026-8573,Travel
SteelWorks electronic components INV-2026-8573,Inventory
Tata Power broadband inv0ice,Utilities
STAPLES printer cartridges ref:926762,Office Supplies
BLUE DART shipping surcharge Amt INR 39736,Logistics
DTDC freight charges INV-2026-8573,Logistics
ElectroParts - warehouse stock replenishment for corporate account Amt INR 39736,Inventory
OpenAI - collaboration software for corporate account Amt INR 39736,Cloud/Software
Zoho - collaboration software for corporate account,Cloud/Software
Canon Supplies - printer toner for corporate account,Office Supplies
broadband inv0ice billed by BSNL,Utilities
office pens billed by Canon Supplies INV-2026-8573,Office Supplies
Salesforce - monthly compute usage for corporate account,Cloud/Software
water utility charges from BSNL INV-2026-8573,Utilities
Oracle invoice for software subscription,Cloud/Software
IRCTC client meeting travel INV-2026-8573,Travel
Municipal Water broadband invoice,Utilities
SteelWorks - finished goods procurement for corporate account Amt INR 39736,Inventory
MEGA WHOLESALE bulk procurement of components INV-2026-8573,Inventory
SHADOWFAX courier chg,Logistics
Oracle monthly compute usage,Cloud/Software
container movement from DHL,Logistics
ATLASSIAN crm subscription INV-2026-8573,Cloud/Software
whiteboard markers billed by Staples,Office Supplies
TATA POWER telephone charges,Utilities
SHADOWFAX cargo handling,Logistics
bulk procurement of components from Global Traders,Inventory
VODAFONE electricity bill INV-2026-8573,Utilities
VODAFONE utility surcharge PO#19232,Utilities
lodging charges from IHG Hotels PO#19232,Travel
CANON SUPPLIES folders and binders,Office Supplies
Energy Board - office electricity usage for corporate account Amt INR 39736,Utilities
Zoho invoice for collaboration software INV-2026-8573,Cloud/Software
Office Depot folders and binders ref:926762,Office Supplies
Mega Wholesale metal fasteners,Inventory
Oracle inv0ice for monthly compute usage,Cloud/Software
Energy Board electricity bill,Utilities
shipping surcharge from DTDC Amt INR 39736,Logistics
ElectroParts invoice for packaging materials,Inventory
bulk procurement of components from ChemStore Amt INR 39736,Inventory
OpenAI API usage charges,Cloud/Software
Oracle invoice for monthly compute usage PO#19232,Cloud/Software
cargo handling from Gati,Logistics
airfare for business trip from SpiceJet ref:926762,Travel
BSNL - meter consumption chg for corporate account ref:926762,Utilities
airport transfer from IHG Hotels INV-2026-8573,Travel
monthly compute usage billed by Adobe Amt INR 39736,Cloud/Software
warehouse stock replenishment from SteelWorks,Inventory
Microsoft software subscription,Cloud/Software
MUNICIPAL WATER telephone charges INV-2026-8573,Utilities
CRM subscription billed by Google Cloud Amt INR 39736,Cloud/Software
cargo handling billed by Shadowfax PO#19232,Logistics
Zoho API usage charges PO#19232,Cloud/Software
Local Office Mart inv0ice for office pens,Office Supplies
SaaS license billed by Salesforce INV-2026-8573,Cloud/Software
SpiceJet inv0ice for cab reimbursement Amt INR 39736,Travel
Industrial Hub - electronic components for corporate account PO#19232,Inventory
Local Office Mart - office stationery for corporate account,Office Supplies
Vodafone electricity bill PO#19232,Utilities
printer paper from Office Depot,Office Supplies
airport transfer from SpiceJet,Travel
SHADOWFAX warehouse delivery INV-2026-8573,Logistics
OFFICE DEPOT office pens INV-2026-8573,Office Supplies
SpiceJet rail ticket booking Amt INR 39736,Travel
client meeting travel from IHG Hotels,Travel
air freight billed by Maersk Amt INR 39736,Logistics
INDUSTRIAL HUB metal fasteners,Inventory
AWS - SaaS license for corporate account,Cloud/Software
OpenAI database hosting,Cloud/Software
Maersk air freight INV-2026-8573,Logistics
CESC broadband invoice INV-2026-8573,Utilities
BSNL gas utility payment,Utilities
water utility charges billed by Energy Board ref:926762,Utilities
ADOBE database hosting,Cloud/Software
STAPLES notebooks PO#19232,Office Supplies
Uber travel expense INV-2026-8573,Travel
MAERSK last mile shipment,Logistics
CESC gas utility payment,Utilities
MakeMyTrip - lodging chg for corporate account PO#19232,Travel
Google Cloud collaboration software PO#19232,Cloud/Software
GitHub SaaS license INV-2026-8573,Cloud/Software
flight ticket billed by Uber,Travel
OpenAI - software subscription for corporate account ref:926762,Cloud/Software
IRCTC hotel accommodation,Travel
broadband invoice from BSNL,Utilities
software subscription billed by Zoho PO#19232,Cloud/Software
SHADOWFAX shipping surcharge PO#19232,Logistics
AWS annual renewal,Cloud/Software
Local Office Mart office pens INV-2026-8573,Office Supplies
Tata Power invoice for broadband invoice,Utilities
PrintHub office stationery Amt INR 39736,Office Supplies
printer cartridges from Local Office Mart,Office Supplies
container movement billed by Gati Amt INR 39736,Logistics
electricity bill from Jio Fiber INV-2026-8573,Utilities
WB Stationers staplers,Office Supplies
CESC invoice for water charges INV-2026-8573,Utilities
PaperMart notebooks PO#19232,Office Supplies
DTDC courier charges,Logistics
SKU inventory purchase from SteelWorks ref:926762,Inventory
GLOBAL TRADERS raw material purchase,Inventory
client meeting travel billed by Marriott INV-2026-8573,Travel
SteelWorks - metal fasteners for corporate account PO#19232,Inventory
Municipal Water invoice for meter consumption charges,Utilities
Tata Power invoice for meter consumption charges,Utilities
last mile shipment from Maersk Amt INR 39736,Logistics
flight ticket from Air India Amt INR 39736,Travel
STEELWORKS packaging materials ref:926762,Inventory
Shadowfax invoice for road transport Amt INR 39736,Logistics
GLOBAL TRADERS packaging materials Amt INR 39736,Inventory
rail ticket booking billed by IndiGo INV-2026-8573,Travel
Shadowfax - warehouse delivery for corporate account PO#19232,Logistics
express parcel billed by Delhivery INV-2026-8573,Logistics
DTDC - warehouse delivery for corporate account,Logistics
airfare for business trip billed by IndiGo,Travel
notebooks from Local Office Mart ref:926762,Office Supplies
XpressBees invoice for air freight,Logistics
MakeMyTrip - rail ticket booking for corporate account Amt INR 39736,Travel
airfare for business trip from Marriott PO#19232,Travel
DTDC air freight ref:926762,Logistics
MUNICIPAL WATER water utility charges PO#19232,Utilities
FedEx invoice for cargo handling,Logistics
ELECTROPARTS raw material purchase,Inventory
Airtel inv0ice for water utility chg INV-2026-8573,Utilities
office pens billed by Staples PO#19232,Office Supplies
collaboration software billed by Google Cloud Amt INR 39736,Cloud/Software
Municipal Water internet bill,Utilities
CESC meter consumption chg,Utilities
SpiceJet conference travel,Travel
telephone charges billed by Airtel,Utilities
Airtel water utility chg ref:926762,Utilities
Maersk invoice for container movement PO#19232,Logistics
FEDEX container movement,Logistics
Air India - airport transfer for corporate account PO#19232,Travel
Energy Board - gas utility payment for corporate account,Utilities
Municipal Water internet bill,Utilities
SpiceJet cab reimbursement,Travel
staplers from PaperMart Amt INR 39736,Office Supplies
gas utility payment billed by Jio Fiber,Utilities
courier chg from Shadowfax ref:926762,Logistics
UPS invoice for freight charges ref:926762,Logistics
CESC internet bill Amt INR 39736,Utilities
Shadowfax - air freight for corporate account ref:926762,Logistics
Maersk invoice for freight charges,Logistics
Akasa Air airfare for business trip,Travel
folders and binders from Staples Amt INR 39736,Office Supplies
Municipal Water meter consumption charges INV-2026-8573,Utilities
flight ticket billed by IRCTC Amt INR 39736,Travel
cargo handling from Delhivery PO#19232,Logistics
shipping surcharge billed by Delhivery ref:926762,Logistics
SteelWorks - manufacturing supplies for corporate account ref:926762,Inventory
CESC water chg Amt INR 39736,Utilities
Office Depot office stationery Amt INR 39736,Office Supplies
CESC invoice for office electricity usage PO#19232,Utilities
Oracle database hosting,Cloud/Software
Oracle annual renewal,Cloud/Software
printer toner billed by PaperMart PO#19232,Office Supplies
Oracle inv0ice for annual renewal,Cloud/Software
Energy Board invoice for office electricity usage,Utilities
ChemStore invoice for manufacturing supplies Amt INR 39736,Inventory
travel expense from Akasa Air ref:926762,Travel
SpiceJet airport transfer Amt INR 39736,Travel
PackRight industrial inventory,Inventory
MakeMyTrip invoice for lodging charges,Travel
Industrial Hub - bulk procurement of components for corporate account INV-2026-8573,Inventory
MUNICIPAL WATER broadband invoice ref:926762,Utilities
Blue Dart - express parcel for corporate account ref:926762,Logistics
Vodafone - internet bill for corporate account PO#19232,Utilities
SaaS license billed by Microsoft PO#19232,Cloud/Software
Blue Dart invoice for container movement,Logistics
PAPERMART whiteboard markers,Office Supplies
Global Traders inv0ice for raw material purchase,Inventory
Office Depot - printer cartridges for corporate account ref:926762,Office Supplies
ChemStore inv0ice for metal fasteners Amt INR 39736,Inventory
rail ticket booking from Ola ref:926762,Travel
WB Stationers printer cartridges,Office Supplies
electronic components billed by ChemStore,Inventory
AWS invoice for developer tools,Cloud/Software
MICROSOFT collaboration software,Cloud/Software
Vodafone invoice for water utility charges,Utilities
office stationery from WB Stationers PO#19232,Office Supplies
utility surcharge from Jio Fiber,Utilities
printer paper billed by Canon Supplies,Office Supplies
Vodafone - meter consumption charges for corporate account INV-2026-8573,Utilities
Ola airfare for business trip,Travel
OLA travel expense,Travel
monthly compute usage from GitHub PO#19232,Cloud/Software
Airtel invoice for office electricity usage INV-2026-8573,Utilities
water utility charges from BSNL INV-2026-8573,Utilities
hotel accommodation billed by Uber ref:926762,Travel
lodging charges from IndiGo ref:926762,Travel
Mega Wholesale inv0ice for bulk procurement of components,Inventory
MAKEMYTRIP airport transfer Amt INR 39736,Travel
Municipal Water gas utility payment,Utilities
SpiceJet rail ticket booking ref:926762,Travel
courier charges from Delhivery,Logistics
staplers from WB Stationers ref:926762,Office Supplies
AWS inv0ice for annual renewal,Cloud/Software
SteelWorks inv0ice for SKU inventory purchase,Inventory
UPS invoice for warehouse delivery Amt INR 39736,Logistics
DHL - air freight for corporate account PO#19232,Logistics
Tata Power invoice for water utility charges INV-2026-8573,Utilities
Delhivery invoice for warehouse delivery,Logistics
container movement billed by Blue Dart,Logistics
rail ticket booking from Air India,Travel
Canon Supplies folders and binders ref:926762,Office Supplies
travel expense billed by Akasa Air Amt INR 39736,Travel
printer paper billed by HP Store,Office Supplies
AWS inv0ice for annual renewal Amt INR 39736,Cloud/Software
OLA flight ticket ref:926762,Travel
DHL shipping surcharge ref:926762,Logistics
shipping surcharge from Delhivery,Logistics
CESC telephone charges,Utilities
Atlassian CRM subscription ref:926762,Cloud/Software
Salesforce - cloud hosting for corporate account PO#19232,Cloud/Software
shipping surcharge from Blue Dart ref:926762,Logistics
annual renewal billed by OpenAI ref:926762,Cloud/Software
raw material purchase from PackRight PO#19232,Inventory
airfare for business trip billed by Akasa Air Amt INR 39736,Travel
MAERSK shipping surcharge,Logistics
Akasa Air invoice for airfare for business trip,Travel
CANON SUPPLIES whiteboard markers ref:926762,Office Supplies
AIRTEL internet bill,Utilities
flight ticket billed by Marriott Amt INR 39736,Travel
IndiGo invoice for flight ticket ref:926762,Travel
BSNL invoice for utility surcharge,Utilities
rail ticket booking billed by Uber Amt INR 39736,Travel
Shadowfax - warehouse delivery for corporate account INV-2026-8573,Logistics
MakeMyTrip - rail ticket booking for corporate account ref:926762,Travel
AWS software subscription INV-2026-8573,Cloud/Software
warehouse stock replenishment billed by Mega Wholesale Amt INR 39736,Inventory
desk supplies billed by Office Depot INV-2026-8573,Office Supplies
BSNL gas utility payment,Utilities
industrial inventory billed by ElectroParts INV-2026-8573,Inventory
Mega Wholesale invoice for packaging materials PO#19232,Inventory
electronic components from SteelWorks,Inventory
DTDC invoice for express parcel PO#19232,Logistics
ENERGY BOARD water charges,Utilities
SpiceJet inv0ice for airfare for business trip,Travel
BLUE DART express parcel,Logistics
CANON SUPPLIES office stationery,Office Supplies
desk supplies from Local Office Mart,Office Supplies
telephone charges billed by Municipal Water,Utilities
Local Office Mart staplers Amt INR 39736,Office Supplies
Staples - folders and binders for corporate account,Office Supplies
printer toner billed by Office Depot,Office Supplies
AgriSupply industrial inventory,Inventory
AgriSupply inv0ice for metal fasteners ref:926762,Inventory
TATA POWER office electricity usage ref:926762,Utilities
travel expense from Marriott Amt INR 39736,Travel
Vodafone invoice for meter consumption charges PO#19232,Utilities
MAKEMYTRIP conference travel,Travel
office pens from PrintHub INV-2026-8573,Office Supplies
bulk procurement of components from Global Traders,Inventory
Shadowfax shipping surcharge INV-2026-8573,Logistics
STEELWORKS metal fasteners,Inventory
Tata Power - internet bill for corporate account,Utilities
monthly compute usage billed by Microsoft,Cloud/Software
PrintHub inv0ice for notebooks,Office Supplies
Maersk air freight,Logistics
warehouse stock replenishment billed by PackRight Amt INR 39736,Inventory
Local Office Mart - whiteboard markers for corporate account INV-2026-8573,Office Supplies
AgriSupply manufacturing supplies,Inventory
HP Store invoice for notebooks ref:926762,Office Supplies
CHEMSTORE manufacturing supplies INV-2026-8573,Inventory
folders and binders from Local Office Mart,Office Supplies
airfare for business trip from Marriott INV-2026-8573,Travel
XpressBees road transport,Logistics
cab reimbursement from MakeMyTrip,Travel
cloud hosting from Google Cloud,Cloud/Software
XpressBees container movement Amt INR 39736,Logistics
SKU inventory purchase from ElectroParts,Inventory
Mega Wholesale industrial inventory,Inventory
CRM subscription from Zoho Amt INR 39736,Cloud/Software
staplers billed by Canon Supplies,Office Supplies
cargo handling billed by Gati,Logistics
internet bill from Airtel,Utilities
BLUE DART container movement,Logistics
Delhivery invoice for express parcel,Logistics
industrial inventory from ElectroParts,Inventory
Ola - rail ticket booking for corporate account INV-2026-8573,Travel
Office Depot desk supplies ref:926762,Office Supplies
BLUE DART air freight PO#19232,Logistics
Google Cloud invoice for monthly compute usage PO#19232,Cloud/Software
INDIGO hotel accommodation Amt INR 39736,Travel
Office Depot printer paper PO#19232,Office Supplies
Energy Board - gas utility payment for corporate account,Utilities
BLUE DART freight chg,Logistics
FedEx container movement,Logistics
PaperMart invoice for staplers Amt INR 39736,Office Supplies
meter consumption charges from BSNL,Utilities
SpiceJet - airfare for business trip for corporate account,Travel
Microsoft software subscription,Cloud/Software
Office Depot printer paper,Office Supplies
Marriott - client meeting travel for corporate account INV-2026-8573,Travel
freight chg billed by Gati,Logistics
Maersk - express parcel for corporate account,Logistics
BSNL - internet bill for corporate account PO#19232,Utilities
MAERSK freight charges ref:926762,Logistics
BSNL - broadband invoice for corporate account Amt INR 39736,Utilities
DHL invoice for container movement Amt INR 39736,Logistics
PaperMart - office stationery for corporate account ref:926762,Office Supplies
TATA POWER gas utility payment ref:926762,Utilities
ElectroParts inv0ice for bulk procurement of components ref:926762,Inventory
Industrial Hub inv0ice for finished goods procurement PO#19232,Inventory
MARRIOTT hotel accommodation PO#19232,Travel
Vodafone inv0ice for internet bill,Utilities
UBER hotel accommodation INV-2026-8573,Travel
ChemStore invoice for electronic components,Inventory
GATI courier charges PO#19232,Logistics
UPS inv0ice for last mile shipment,Logistics
SteelWorks SKU inventory purchase ref:926762,Inventory
UBER cab reimbursement,Travel
OLA conference travel INV-2026-8573,Travel
cab reimbursement billed by MakeMyTrip INV-2026-8573,Travel
XpressBees air freight,Logistics
IRCTC - travel expense for corporate account PO#19232,Travel
Local Office Mart office stationery ref:926762,Office Supplies
PackRight - bulk procurement of components for corporate account,Inventory
database hosting from AWS PO#19232,Cloud/Software
HP Store - desk supplies for corporate account ref:926762,Office Supplies
ElectroParts invoice for warehouse stock replenishment,Inventory
Staples - printer paper for corporate account PO#19232,Office Supplies
ChemStore - bulk procurement of components for corporate account,Inventory
Municipal Water - gas utility payment for corporate account,Utilities
Office Depot printer cartridges,Office Supplies
ADOBE cloud hosting,Cloud/Software
client meeting travel from Ola ref:926762,Travel
IRCTC - airfare for business trip for corporate account Amt INR 39736,Travel
Marriott - lodging charges for corporate account PO#19232,Travel
packaging materials from ChemStore ref:926762,Inventory
AWS invoice for software subscription,Cloud/Software
IndiGo cab reimbursement,Travel
metal fasteners from AgriSupply Amt INR 39736,Inventory
Staples - notebooks for corporate account PO#19232,Office Supplies
monthly compute usage from Salesforce ref:926762,Cloud/Software
Atlassian - API usage charges for corporate account,Cloud/Software
Energy Board gas utility payment,Utilities
airfare for business trip from Akasa Air INV-2026-8573,Travel
Industrial Hub - SKU inventory purchase for corporate account,Inventory
UPS invoice for air freight Amt INR 39736,Logistics
ChemStore invoice for bulk procurement of components Amt INR 39736,Inventory
freight charges billed by Delhivery Amt INR 39736,Logistics
Tata Power invoice for gas utility payment INV-2026-8573,Utilities
folders and binders from Canon Supplies,Office Supplies
SALESFORCE saas license INV-2026-8573,Cloud/Software
MARRIOTT hotel accommodation,Travel
Energy Board invoice for office electricity usage INV-2026-8573,Utilities
industrial inventory billed by PackRight,Inventory
STAPLES printer toner,Office Supplies
ORACLE database hosting,Cloud/Software
staplers billed by PrintHub PO#19232,Office Supplies
raw material purchase billed by SteelWorks PO#19232,Inventory
Mega Wholesale invoice for finished goods procurement,Inventory
Local Office Mart invoice for notebooks ref:926762,Office Supplies
SteelWorks - manufacturing supplies for corporate account,Inventory
Tata Power invoice for meter consumption charges,Utilities
Zoho annual renewal,Cloud/Software
CESC telephone chg,Utilities
internet bill from BSNL,Utilities
MUNICIPAL WATER electricity bill,Utilities
container movement billed by Blue Dart,Logistics
whiteboard markers billed by Staples,Office Supplies
last mile shipment billed by Delhivery,Logistics
ElectroParts invoice for packaging materials,Inventory
Airtel utility surcharge,Utilities
electricity bill from BSNL,Utilities
WB Stationers invoice for whiteboard markers,Office Supplies
XpressBees - last mile shipment for corporate account,Logistics
broadband inv0ice billed by Airtel ref:926762,Utilities
warehouse stock replenishment billed by Global Traders,Inventory
Municipal Water - water utility charges for corporate account INV-2026-8573,Utilities
MakeMyTrip airfare for business trip ref:926762,Travel
Shadowfax - cargo handling for corporate account PO#19232,Logistics
cab reimbursement from IHG Hotels Amt INR 39736,Travel
Global Traders invoice for bulk procurement of components Amt INR 39736,Inventory
metal fasteners from ElectroParts,Inventory
Airtel - water utility chg for corporate account,Utilities
BSNL - telephone charges for corporate account INV-2026-8573,Utilities
FedEx invoice for air freight,Logistics
AWS inv0ice for software subscription INV-2026-8573,Cloud/Software
Canon Supplies invoice for folders and binders ref:926762,Office Supplies
Adobe invoice for SaaS license Amt INR 39736,Cloud/Software
MakeMyTrip travel expense INV-2026-8573,Travel
Energy Board invoice for gas utility payment INV-2026-8573,Utilities
PackRight invoice for electronic components Amt INR 39736,Inventory
Staples - office pens for corporate account Amt INR 39736,Office Supplies
cloud hosting from OpenAI ref:926762,Cloud/Software
software subscription billed by Atlassian,Cloud/Software
ChemStore - raw material purchase for corporate account PO#19232,Inventory
HP Store - notebooks for corporate account,Office Supplies
Airtel telephone charges,Utilities
HP Store invoice for whiteboard markers ref:926762,Office Supplies
GitHub invoice for CRM subscription ref:926762,Cloud/Software
ORACLE crm subscription ref:926762,Cloud/Software
database hosting from Zoho,Cloud/Software
HP STORE desk supplies PO#19232,Office Supplies
Tata Power invoice for gas utility payment PO#19232,Utilities
Ola - rail ticket booking for corporate account PO#19232,Travel
collaboration software from AWS,Cloud/Software
industrial inventory billed by AgriSupply INV-2026-8573,Inventory
PRINTHUB staplers ref:926762,Office Supplies
BSNL - gas utility payment for corporate account,Utilities
Staples invoice for desk supplies ref:926762,Office Supplies
PaperMart folders and binders,Office Supplies
Municipal Water water utility chg,Utilities
Akasa Air invoice for airport transfer,Travel
Ola invoice for airport transfer,Travel
AKASA AIR client meeting travel Amt INR 39736,Travel
AgriSupply - metal fasteners for corporate account,Inventory
water utility charges from Energy Board,Utilities
Adobe invoice for collaboration software PO#19232,Cloud/Software
IndiGo - lodging charges for corporate account,Travel
GOOGLE CLOUD crm subscription,Cloud/Software
LOCAL OFFICE MART whiteboard markers,Office Supplies
metal fasteners from Mega Wholesale,Inventory
Mega Wholesale - SKU inventory purchase for corporate account INV-2026-8573,Inventory
collaboration software billed by Google Cloud ref:926762,Cloud/Software
ChemStore metal fasteners,Inventory
DTDC - road transport for corporate account PO#19232,Logistics
PRINTHUB notebooks INV-2026-8573,Office Supplies
air freight billed by Maersk,Logistics
CESC - utility surcharge for corporate account,Utilities
Airtel - telephone chg for corporate account,Utilities
utility surcharge billed by Municipal Water Amt INR 39736,Utilities
bulk procurement of components from AgriSupply Amt INR 39736,Inventory
electricity bill from Tata Power,Utilities
rail ticket booking from Air India Amt INR 39736,Travel
Global Traders manufacturing supplies,Inventory
ORACLE annual renewal PO#19232,Cloud/Software
printer paper billed by HP Store INV-2026-8573,Office Supplies
water utility charges billed by Energy Board Amt INR 39736,Utilities
BSNL meter consumption charges,Utilities
lodging chg from IndiGo,Travel
water chg billed by Municipal Water ref:926762,Utilities
PackRight bulk procurement of components,Inventory
finished goods procurement from ElectroParts INV-2026-8573,Inventory
AWS - monthly compute usage for corporate account INV-2026-8573,Cloud/Software
OPENAI crm subscription ref:926762,Cloud/Software
AgriSupply invoice for manufacturing supplies,Inventory
Ola cab reimbursement ref:926762,Travel
Global Traders - raw material purchase for corporate account,Inventory
SteelWorks invoice for metal fasteners ref:926762,Inventory
Jio Fiber utility surcharge,Utilities
desk supplies from WB Stationers ref:926762,Office Supplies
GLOBAL TRADERS industrial inventory,Inventory
CESC - water utility charges for corporate account ref:926762,Utilities
BSNL water chg PO#19232,Utilities
Vodafone - broadband inv0ice for corporate account,Utilities
Marriott - rail ticket booking for corporate account,Travel
staplers billed by WB Stationers,Office Supplies
PrintHub invoice for office stationery Amt INR 39736,Office Supplies
ChemStore - bulk procurement of components for corporate account ref:926762,Inventory
client meeting travel from Ola,Travel
FEDEX shipping surcharge,Logistics
OpenAI SaaS license Amt INR 39736,Cloud/Software
Industrial Hub invoice for SKU inventory purchase PO#19232,Inventory
Ola invoice for rail ticket booking INV-2026-8573,Travel
JIO FIBER meter consumption chg Amt INR 39736,Utilities
Local Office Mart folders and binders PO#19232,Office Supplies
folders and binders from WB Stationers,Office Supplies
CESC water utility charges Amt INR 39736,Utilities
manufacturing supplies from Global Traders,Inventory
folders and binders billed by Canon Supplies INV-2026-8573,Office Supplies
bulk procurement of components billed by ChemStore INV-2026-8573,Inventory
internet bill from Jio Fiber,Utilities
PackRight - industrial inventory for corporate account Amt INR 39736,Inventory
CESC inv0ice for internet bill,Utilities
PrintHub - printer paper for corporate account,Office Supplies
Salesforce API usage charges INV-2026-8573,Cloud/Software
flight ticket billed by MakeMyTrip,Travel
STAPLES office stationery,Office Supplies
internet bill billed by CESC ref:926762,Utilities
cab reimbursement billed by Ola PO#19232,Travel
FedEx shipping surcharge,Logistics
internet bill billed by Vodafone Amt INR 39736,Utilities
express parcel from Maersk PO#19232,Logistics
AIRTEL water charges,Utilities
UPS invoice for cargo handling INV-2026-8573,Logistics
BSNL water utility charges INV-2026-8573,Utilities
Microsoft annual renewal,Cloud/Software
Blue Dart - express parcel for corporate account PO#19232,Logistics
IRCTC inv0ice for client meeting travel INV-2026-8573,Travel
software subscription from Atlassian,Cloud/Software
CESC - internet bill for corporate account,Utilities
office stationery billed by Local Office Mart,Office Supplies
Air India - airfare for business trip for corporate account INV-2026-8573,Travel
Marriott hotel accommodation,Travel
SteelWorks invoice for finished goods procurement,Inventory
ATLASSIAN software subscription,Cloud/Software
VODAFONE broadband invoice,Utilities
express parcel from DTDC PO#19232,Logistics
database hosting billed by Salesforce INV-2026-8573,Cloud/Software
printer cartridges billed by WB Stationers ref:926762,Office Supplies
MEGA WHOLESALE bulk procurement of components PO#19232,Inventory
VODAFONE utility surcharge,Utilities
Air India invoice for travel expense,Travel
utility surcharge billed by Tata Power,Utilities
printer cartridges billed by Staples,Office Supplies
